BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
BA LE FIELDS CORNER,,1449 DORCHESTER ,DORCHESTER,MA,2122,Active,FT,Eating & Drinking w/ Take Out,3/21/07 11:20,10000000000,,"(42.3594, -71.0587)"
Back Bay Sandwich,,31 Saint James,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,6/22/11 10:14,16174511561,304225,"(42.35091, -71.07152)"
BACKWOODS PIZZA,,539 Dudley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174457400,156012,"(42.321739, -71.072511)"
Baco Banh Mi @Super 88 Market,,1 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,4/22/13 13:02,16177565111,157732,"(42.352411, -71.125329)"
BAGEL RISING,,1243 Commonwealth,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16173205183,157710,"(42.350319, -71.131871)"
Bagelville Inc.,,200 Faneuil Hall Market,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,8/21/09 8:57,16175902206,,"(42.3594, -71.0587)"
Bailey & Sage,,103 State,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,4/8/10 13:12,10000000000,130366,"(42.35896, -71.05512)"
BAILEY'S COFFEE SHOP,,65 L STREET,SOUTH BOSTON,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174642044,,"(42.3594, -71.0587)"
BALE RESTAURANT,,1052 DORCHESTER ,DORCHESTER,MA,2125,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174799006,,"(42.3594, -71.0587)"
BAMBOO RESTAURANT,,1616 Commonwealth,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16177348192,158088,"(42.343246, -71.142709)"
BANGKOK BISTRO,,433 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,3/7/13 10:48,16177109104,143543,"(42.349345, -71.156794)"
BANGKOK CITY RESTAURANT,,167 MASSACHUSETTS ,BOSTON,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16179218008,,"(42.3594, -71.0587)"
Bangkok Express,,100-199 Faneuil Hall Market,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,5/1/07 14:22,10000000000,,"(42.3594, -71.0587)"
Banh Mi House,,48 Winter,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,9/20/12 10:16,16173317899,155968,"(42.355863, -71.061898)"
Banh Mi Ngon/Vietnamese Gourmet Sandwiches,,1751 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,1/27/12 14:51,10000000000,27713,"(42.28746, -71.15038)"
Barrington Coffee,,346 Congress,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,7/15/11 10:12,10000000000,342794,"(42.350637, -71.048443)"
Basho Japanese Sushi@B.U.(G.S.U.),,775 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2/28/13 8:06,16172621338,157395,"(42.350873, -71.108963)"
BCG @ Bank of America Pavillion,,290 Northern,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17816830221,157014,"(42.348163, -71.03656)"
BCG@ ORPHEUM THEATRE,,1 Hamilton,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17816599923,165924,"(42.356225, -71.060994)"
Beach House Cafe,,789A Adams,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/21/12 11:00,16179291880,973,"(42.28323, -71.05596)"
Bean & Leaf Cafe,,20 Custom House,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,15089420923,157482,"(42.358135, -71.053058)"
Bean and Cream Co.,,676 Truman,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,10/7/10 9:43,10000000000,170574,"(42.252129, -71.118362)"
BEANTOWN BURRITO,,400 Longwood,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17813567770,156642,"(42.340338, -71.109399)"
Beantown Hoagie,,102 Water,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,9/16/10 9:14,17817340300,157376,"(42.35806, -71.055079)"
Beantown Pub,,100 Tremont,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174260111,157329,"(42.357232, -71.060979)"
Beijing Kyoto,,108 South,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,1/10/08 13:04,18573896351,128507,"(42.351, -71.05713)"
Ben & Jerry's,,174 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16175365456,101380,"(42.35031, -71.079)"
Ben & Jerry's,,800 Boylston,Boston,MA,2199,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172660767,157244,"(42.347296, -71.081457)"
Ben and Jerry's,,22 Park,,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/23/11 8:34,16178770252,340970,"(42.351454, -71.06876)"
BERKELEY PERK CAFE,,69 Berkeley,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174260673,15038,"(42.34678, -71.07061)"
Berry Line,,1377 Boylston,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,4/3/09 9:36,13105929259,,"(42.3594, -71.0587)"
BEST BARBECUE KITCHEN,,86 BEACH,BOSTON,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16173990285,,"(42.3594, -71.0587)"
Bethlehem to Go,,136 Harvard,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,9/27/11 10:54,10000000000,157590,"(42.352101, -71.13159)"
BIG DADDY'S PIZZA,,436 WESTERN ,BRIGHTON,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16178032212,,"(42.3594, -71.0587)"
Big Guy's Cafe & Grill Inc.,,38 Cornhill,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,1/18/11 14:29,16179736612,154049,"(42.35952, -71.05866)"
Billy's Sub Shop,,57 Berkeley,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16174261822,15033,"(42.34659, -71.07051)"
BLASI'S CAFE,,756 Adams,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16178254566,958,"(42.28373, -71.05536)"
Blue Cross Blue Shield-Landmark Center,,401 Park,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,9/17/08 9:48,19788970660,156914,"(42.344534, -71.102755)"
Blue Hill Coffee Shop,,170 Blue Hill,Dorchester,MA,2119,Active,FT,Eating & Drinking w/ Take Out,1/13/10 15:22,16174423900,157778,"(42.318959, -71.077569)"
