8 Av N train icon,8 Av,"9,987","10,215","(40.739777, -74.002578)"
86 St N train icon,86 St,"2,307","2,389","(40.622687, -74.028398)"
86 St R train icon,86 St,"10,457","10,710","(40.622687, -74.028398)"
9 Av D train icon,9 Av,"5,945","5,955","(40.646292, -73.994324)"
Alabama Av J train icon,Alabama Av,"2,153","2,271","(40.676992, -73.898654)"
Atlantic Av- Barclays Ctr  B train icon Q train icon 2 train icon 3 train icon 4 train icon 5 train iconD train icon N train icon R train icon,Atlantic Av- Barclays Ctr ,"31,408","32,497","(40.683666, -73.978810)"
Atlantic Av L train icon,Atlantic Av,"1,319","1,385","(40.684460, -73.976890)"
Avenue H Q train icon ,Avenue H,"2,697","2,174","(40.629270, -73.961639)"
Avenue I F train icon ,Avenue I,"2,370","2,328","(40.625322, -73.976127)"
Avenue J  Q train icon ,Avenue J ,"6,237","6,742","(40.625039, -73.960803)"
Avenue M Q train icon ,Avenue M,"5,713","4,628","(40.617618, -73.959399)"
Avenue N F train icon ,Avenue N,"3,282","3,377","(40.615140, -73.974197)"
Avenue P F train icon ,Avenue P,"2,648","2,667","(40.608944, -73.973022)"
Avenue U F train icon ,Avenue U,"2,142","2,331","(40.599300, -73.955929)"
Avenue U  N train icon,Avenue U ,"3,871","3,872","(40.599300, -73.955929)"
Avenue U  Q train icon,Avenue U ,"5,875","4,101","(40.599300, -73.955929)"
Avenue X F train icon ,Avenue X,"2,736","2,789","(40.589620, -73.974250)"
Bay 50 St D train icon,Bay 50 St,"3,170","3,260","(40.588841, -73.983765)"
Bay Pkwy D train icon,Bay Pkwy,"6,673","6,753","(40.601875, -73.993728)"
Bay Pkwy F train icon ,Bay Pkwy,"1,336","1,386","(40.601875, -73.993728)"
Bay Pkwy N train icon ,Bay Pkwy,"6,494","6,497","(40.601875, -73.993728)"
Bay Ridge Av R train icon,Bay Ridge Av,"8,092","8,119","(40.634967, -74.023377)"
Bay Ridge-95 St R train icon,Bay Ridge-95 St,"5,617","5,715","(40.634967, -74.023377)"
Bedford Av L train icon,Bedford Av,"19,550","21,149","(40.717304, -73.956872)"
Bedford-Nostrand Avs G train icon ,Bedford-Nostrand Avs,"5,928","6,040","(40.689627, -73.953522)"
Bergen St 2 train icon 3 train icon,Bergen St,"4,015","4,127","(40.686145, -73.990862)"
Bergen St F train icon G train icon,Bergen St,"10,154","10,578","(40.686145, -73.990862)"
Beverley Rd  Q train icon ,Beverley Rd ,"2,933","3,436",#N/A
