GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US35128,35128,"ZIP 35128 (Pell City, AL)",00,Total for all sectors,2011,144,1256,9401,43172
8610000US35130,35130,"ZIP 35130 (Quinton, AL)",00,Total for all sectors,2011,26,584,11987,39008
8610000US35131,35131,"ZIP 35131 (Ragland, AL)",00,Total for all sectors,2011,32,289,2661,11375
8610000US35133,35133,"ZIP 35133 (Remlap, AL)",00,Total for all sectors,2011,32,211,1046,4373
8610000US35135,35135,"ZIP 35135 (Riverside, AL)",00,Total for all sectors,2011,19,123,432,2149
8610000US35136,35136,"ZIP 35136 (Rockford, AL)",00,Total for all sectors,2011,23,64,395,1678
8610000US35137,35137,"ZIP 35137 (Saginaw, AL)",00,Total for all sectors,2011,13,517,5990,30477
8610000US35139,35139,"ZIP 35139 (Sayre, AL)",00,Total for all sectors,2011,1,a,D,D
8610000US35142,35142,"ZIP 35142 (Shannon, AL)",00,Total for all sectors,2011,4,b,D,D
8610000US35143,35143,"ZIP 35143 (Shelby, AL)",00,Total for all sectors,2011,32,128,1018,4234
8610000US35146,35146,"ZIP 35146 (Springville, AL)",00,Total for all sectors,2011,129,971,5743,23081
8610000US35147,35147,"ZIP 35147 (Sterrett, AL)",00,Total for all sectors,2011,52,305,2288,10662
8610000US35148,35148,"ZIP 35148 (Sumiton, AL)",00,Total for all sectors,2011,92,1191,6700,26280
8610000US35149,35149,"ZIP 35149 (Sycamore, AL)",00,Total for all sectors,2011,4,a,S,160
8610000US35150,35150,"ZIP 35150 (Sylacauga, AL)",00,Total for all sectors,2011,436,6208,53665,224090
8610000US35151,35151,"ZIP 35151 (Sylacauga, AL)",00,Total for all sectors,2011,63,832,5438,22811
8610000US35160,35160,"ZIP 35160 (Talladega, AL)",00,Total for all sectors,2011,377,5737,38438,164043
8610000US35161,35161,"ZIP 35161 (Talladega, AL)",00,Total for all sectors,2011,26,649,5626,24435
8610000US35171,35171,"ZIP 35171 (Thorsby, AL)",00,Total for all sectors,2011,44,453,4140,18077
8610000US35172,35172,"ZIP 35172 (Trafford, AL)",00,Total for all sectors,2011,22,119,689,3119
8610000US35173,35173,"ZIP 35173 (Trussville, AL)",00,Total for all sectors,2011,547,6267,50430,214883
8610000US35175,35175,"ZIP 35175 (Union Grove, AL)",00,Total for all sectors,2011,32,686,7817,39839
8610000US35176,35176,"ZIP 35176 (Vandiver, AL)",00,Total for all sectors,2011,9,97,851,2934
8610000US35178,35178,"ZIP 35178 (Vincent, AL)",00,Total for all sectors,2011,28,351,3249,12654
8610000US35179,35179,"ZIP 35179 (Vinemont, AL)",00,Total for all sectors,2011,96,678,4862,24281
8610000US35180,35180,"ZIP 35180 (Warrior, AL)",00,Total for all sectors,2011,164,1427,9603,41027
8610000US35182,35182,"ZIP 35182 (Wattsville, AL)",00,Total for all sectors,2011,1,a,D,D
8610000US35183,35183,"ZIP 35183 (Weogufka, AL)",00,Total for all sectors,2011,2,a,D,D
8610000US35184,35184,"ZIP 35184 (West Blocton, AL)",00,Total for all sectors,2011,26,106,682,3149
8610000US35185,35185,"ZIP 35185 (Westover, AL)",00,Total for all sectors,2011,8,28,291,1048
8610000US35186,35186,"ZIP 35186 (Wilsonville, AL)",00,Total for all sectors,2011,56,f,D,D
8610000US35187,35187,"ZIP 35187 (Wilton, AL)",00,Total for all sectors,2011,6,b,D,D
8610000US35188,35188,"ZIP 35188 (Woodstock, AL)",00,Total for all sectors,2011,58,367,2655,11810
8610000US35201,35201,"ZIP 35201 (Birmingham, AL)",00,Total for all sectors,2011,30,g,D,D
8610000US35202,35202,"ZIP 35202 (Birmingham, AL)",00,Total for all sectors,2011,44,544,5325,21171
8610000US35203,35203,"ZIP 35203 (Birmingham, AL)",00,Total for all sectors,2011,937,23675,431168,1449175
8610000US35204,35204,"ZIP 35204 (Birmingham, AL)",00,Total for all sectors,2011,203,4366,28185,128315
8610000US35205,35205,"ZIP 35205 (Birmingham, AL)",00,Total for all sectors,2011,627,14714,135697,624744
8610000US35206,35206,"ZIP 35206 (Birmingham, AL)",00,Total for all sectors,2011,207,2175,12865,52537
8610000US35207,35207,"ZIP 35207 (Birmingham, AL)",00,Total for all sectors,2011,125,4967,59414,237544
8610000US35208,35208,"ZIP 35208 (Birmingham, AL)",00,Total for all sectors,2011,170,1633,10227,38509
